outcome,model,feature_set,fold,n,n_positive,n_negative,roc_auc,pr_auc,balanced_accuracy,f1,brier
future_ge900,RandomForest,context_current,5,57,15,42,0.8523809523809525,0.5576960626805828,0.8357142857142857,0.7,0.15547949778706863
future_ge900,RandomForest,g1_current,1,58,16,42,0.9300595238095238,0.8451543111493769,0.8422619047619048,0.7368421052631579,0.11052302655033394
future_ge900,RandomForest,g1_current,2,58,16,42,0.8125,0.6295948079805471,0.7916666666666667,0.6857142857142857,0.16137328397191988
future_ge900,RandomForest,g1_current,3,58,16,42,0.8050595238095238,0.6206648245364762,0.7291666666666667,0.6060606060606061,0.16140824069992754
future_ge900,RandomForest,g1_current,4,58,16,42,0.9300595238095238,0.8726865415314182,0.8511904761904762,0.8,0.10974423488330204
future_ge900,RandomForest,g1_current,5,57,15,42,0.8523809523809524,0.6180978453759671,0.8500000000000001,0.7428571428571429,0.14692769811802067
future_ge900,GradientBoosting,context_current,1,58,16,42,0.8735119047619048,0.8276047569085585,0.8154761904761905,0.7272727272727273,0.11269773888449802
future_ge900,GradientBoosting,context_current,2,58,16,42,0.8184523809523809,0.6301589276782124,0.7410714285714286,0.625,0.16323145745136328
future_ge900,GradientBoosting,context_current,3,58,16,42,0.744047619047619,0.6073847736415912,0.6235119047619048,0.45161290322580644,0.20681532473335024
future_ge900,GradientBoosting,context_current,4,58,16,42,0.875,0.8309893538955323,0.7693452380952381,0.6923076923076923,0.10169543626653889
future_ge900,GradientBoosting,context_current,5,57,15,42,0.8634920634920635,0.5933813593813594,0.7047619047619047,0.5625,0.14499866422768515
future_ge900,GradientBoosting,g1_current,1,58,16,42,0.8645833333333334,0.8089934508382475,0.7529761904761905,0.6451612903225806,0.12243472123167541
future_ge900,GradientBoosting,g1_current,2,58,16,42,0.78125,0.6423152035289783,0.6979166666666667,0.5625,0.18294216939503585
future_ge900,GradientBoosting,g1_current,3,58,16,42,0.8080357142857143,0.6905215658524482,0.7023809523809523,0.5714285714285714,0.16412726850809162
future_ge900,GradientBoosting,g1_current,4,58,16,42,0.8869047619047619,0.8138690722360078,0.7574404761904762,0.6666666666666666,0.12093249762406383
